time,open,high,low,close,tick_volume
2025-03-21 06:03:00,0.55586,0.55594,0.55585,0.55588,19
2025-03-21 06:04:00,0.55589,0.55591,0.55586,0.55587,16
2025-03-21 06:05:00,0.55586,0.55588,0.55585,0.55585,10
2025-03-21 06:06:00,0.55584,0.55586,0.55583,0.55585,10
2025-03-21 06:07:00,0.55584,0.55589,0.55583,0.55587,9
2025-03-21 06:08:00,0.55587,0.55588,0.55581,0.55588,14
2025-03-21 06:09:00,0.55587,0.5559,0.55587,0.55589,8
2025-03-21 06:10:00,0.5559,0.5559,0.55585,0.55587,13
2025-03-21 06:11:00,0.55588,0.55591,0.55586,0.55587,13
2025-03-21 06:12:00,0.55586,0.55588,0.55585,0.55587,9
2025-03-21 06:13:00,0.55586,0.55594,0.55586,0.55594,21
2025-03-21 06:14:00,0.55593,0.55596,0.55591,0.55595,11
2025-03-21 06:15:00,0.55594,0.55595,0.5559,0.55595,17
2025-03-21 06:16:00,0.55594,0.55595,0.55591,0.55593,11
2025-03-21 06:17:00,0.55593,0.55596,0.55593,0.55596,9
2025-03-21 06:18:00,0.55596,0.55596,0.5559,0.55593,29
2025-03-21 06:19:00,0.55593,0.55594,0.55591,0.55592,8
2025-03-21 06:20:00,0.55592,0.55594,0.55589,0.5559,12
2025-03-21 06:21:00,0.55591,0.55595,0.55591,0.55595,8
2025-03-21 06:22:00,0.55593,0.55597,0.55593,0.55595,12
2025-03-21 06:23:00,0.55595,0.55595,0.55585,0.55585,9
2025-03-21 06:24:00,0.55586,0.55589,0.55584,0.55584,12
2025-03-21 06:25:00,0.55586,0.5559,0.55585,0.55589,17
2025-03-21 06:26:00,0.55584,0.55587,0.55584,0.55586,6
2025-03-21 06:27:00,0.55588,0.55589,0.55586,0.55588,11
2025-03-21 06:28:00,0.55588,0.55593,0.55584,0.55586,10
2025-03-21 06:29:00,0.55585,0.55589,0.55585,0.55586,11
2025-03-21 06:30:00,0.55586,0.55593,0.55586,0.55588,13
2025-03-21 06:31:00,0.55589,0.5559,0.5558,0.5558,16
2025-03-21 06:32:00,0.55579,0.55579,0.55577,0.55579,7
2025-03-21 06:33:00,0.5558,0.5558,0.55575,0.55576,18
2025-03-21 06:34:00,0.55576,0.55577,0.55574,0.55576,16
2025-03-21 06:35:00,0.55575,0.55579,0.55572,0.55575,18
2025-03-21 06:36:00,0.55575,0.55577,0.5557,0.5557,15
2025-03-21 06:37:00,0.55569,0.55573,0.55568,0.55573,15
2025-03-21 06:38:00,0.55572,0.55578,0.55572,0.55575,11
2025-03-21 06:39:00,0.55575,0.55575,0.55565,0.55566,11
2025-03-21 06:40:00,0.55567,0.5557,0.55564,0.5557,11
2025-03-21 06:41:00,0.55571,0.55575,0.5557,0.55571,13
2025-03-21 06:42:00,0.55574,0.55574,0.55561,0.55562,24
2025-03-21 06:43:00,0.55562,0.55566,0.5556,0.55565,13
2025-03-21 06:44:00,0.55566,0.55567,0.55561,0.55562,21
2025-03-21 06:45:00,0.55561,0.55564,0.55559,0.55561,19
2025-03-21 06:46:00,0.55562,0.55562,0.55557,0.55557,14
2025-03-21 06:47:00,0.55558,0.55559,0.55556,0.55558,9
2025-03-21 06:48:00,0.55557,0.55557,0.55555,0.55557,7
2025-03-21 06:49:00,0.55556,0.55559,0.55551,0.55551,7
2025-03-21 06:50:00,0.55551,0.55564,0.5555,0.55561,15
2025-03-21 06:51:00,0.55561,0.55564,0.55561,0.55563,13
2025-03-21 06:52:00,0.55564,0.5557,0.55561,0.55569,13
2025-03-21 06:53:00,0.55568,0.55572,0.55568,0.55568,13
2025-03-21 06:54:00,0.55568,0.55571,0.55567,0.55569,11
2025-03-21 06:55:00,0.55568,0.55578,0.55567,0.55578,9
2025-03-21 06:56:00,0.55579,0.5558,0.55576,0.55578,14
2025-03-21 06:57:00,0.55577,0.55577,0.55568,0.55568,12
2025-03-21 06:58:00,0.55568,0.55568,0.55559,0.55559,15
2025-03-21 06:59:00,0.5556,0.55561,0.55559,0.5556,11
2025-03-21 07:00:00,0.55559,0.55559,0.55551,0.55552,16
2025-03-21 07:01:00,0.55551,0.55555,0.55551,0.55552,13
2025-03-21 07:02:00,0.55553,0.55559,0.55547,0.55559,22
2025-03-21 07:03:00,0.5556,0.55561,0.55558,0.5556,7
2025-03-21 07:04:00,0.55558,0.55562,0.55555,0.55561,13
2025-03-21 07:05:00,0.5556,0.55561,0.55553,0.55553,10
2025-03-21 07:06:00,0.55552,0.55558,0.55552,0.55558,10
2025-03-21 07:07:00,0.55558,0.55558,0.55554,0.55556,7
2025-03-21 07:08:00,0.55555,0.55558,0.55555,0.55556,9
2025-03-21 07:09:00,0.55555,0.55558,0.55555,0.55556,18
2025-03-21 07:10:00,0.55555,0.55563,0.55553,0.55562,20
2025-03-21 07:11:00,0.55563,0.55563,0.55558,0.55558,21
2025-03-21 07:12:00,0.55557,0.5556,0.55553,0.55559,21
2025-03-21 07:13:00,0.55558,0.55559,0.55556,0.55557,13
2025-03-21 07:14:00,0.55558,0.55559,0.55554,0.55554,17
2025-03-21 07:15:00,0.55556,0.55562,0.55552,0.55561,16
2025-03-21 07:16:00,0.55562,0.55567,0.55562,0.55567,5
2025-03-21 07:17:00,0.55567,0.55577,0.55567,0.55576,17
2025-03-21 07:18:00,0.55576,0.55578,0.55572,0.55573,12
2025-03-21 07:19:00,0.55574,0.55574,0.55569,0.5557,19
2025-03-21 07:20:00,0.55571,0.55572,0.55566,0.55567,13
2025-03-21 07:21:00,0.55568,0.55569,0.55566,0.55566,11
2025-03-21 07:22:00,0.55568,0.55578,0.55568,0.55578,17
2025-03-21 07:23:00,0.55578,0.5558,0.55575,0.55575,17
2025-03-21 07:24:00,0.55575,0.5558,0.55572,0.55573,26
2025-03-21 07:25:00,0.55573,0.55581,0.55571,0.5558,19
2025-03-21 07:26:00,0.55581,0.55586,0.55579,0.55585,23
2025-03-21 07:27:00,0.55583,0.55587,0.55582,0.55586,12
2025-03-21 07:28:00,0.55585,0.55586,0.55582,0.55584,15
2025-03-21 07:29:00,0.55583,0.55585,0.55578,0.55578,18
2025-03-21 07:30:00,0.55579,0.55584,0.55578,0.55583,25
2025-03-21 07:31:00,0.55582,0.55582,0.55573,0.55576,21
2025-03-21 07:32:00,0.55576,0.55577,0.55573,0.55573,11
2025-03-21 07:33:00,0.55572,0.5558,0.55571,0.55579,17
2025-03-21 07:34:00,0.55579,0.55582,0.55577,0.5558,14
2025-03-21 07:35:00,0.55579,0.55579,0.55575,0.55575,15
2025-03-21 07:36:00,0.55575,0.55578,0.55573,0.55573,10
2025-03-21 07:37:00,0.55573,0.55575,0.55567,0.55568,10
2025-03-21 07:38:00,0.55567,0.55571,0.55566,0.55566,14
2025-03-21 07:39:00,0.55567,0.55567,0.5556,0.55562,21
2025-03-21 07:40:00,0.55563,0.55563,0.55553,0.55555,9
2025-03-21 07:41:00,0.55556,0.55557,0.55553,0.55557,19
2025-03-21 07:42:00,0.55555,0.55558,0.55553,0.55556,31
2025-03-21 07:43:00,0.55555,0.55555,0.5555,0.55552,21
2025-03-21 07:44:00,0.55552,0.55552,0.55549,0.55551,15
2025-03-21 07:45:00,0.5555,0.5555,0.55548,0.55549,13
2025-03-21 07:46:00,0.55548,0.55551,0.55548,0.5555,9
2025-03-21 07:47:00,0.5555,0.5555,0.5554,0.55542,14
2025-03-21 07:48:00,0.55542,0.55549,0.55542,0.55546,20
2025-03-21 07:49:00,0.55546,0.55552,0.55545,0.55552,15
2025-03-21 07:50:00,0.55551,0.55564,0.5555,0.55564,21
2025-03-21 07:51:00,0.55563,0.55564,0.55554,0.55556,14
2025-03-21 07:52:00,0.55555,0.55563,0.55555,0.55563,27
2025-03-21 07:53:00,0.55562,0.55571,0.55562,0.55571,16
2025-03-21 07:54:00,0.55573,0.55574,0.55569,0.55573,20
2025-03-21 07:55:00,0.55572,0.55572,0.55564,0.55564,25
2025-03-21 07:56:00,0.55563,0.55563,0.55557,0.55558,20
2025-03-21 07:57:00,0.55558,0.55569,0.55557,0.55568,32
2025-03-21 07:58:00,0.55569,0.55569,0.55565,0.55566,15
2025-03-21 07:59:00,0.55567,0.55572,0.55566,0.55569,21
2025-03-21 08:00:00,0.5557,0.55582,0.55568,0.5558,27
2025-03-21 08:01:00,0.55581,0.55582,0.55576,0.55582,15
2025-03-21 08:02:00,0.55582,0.5559,0.5558,0.55589,27
2025-03-21 08:03:00,0.55588,0.55595,0.55586,0.55587,22
2025-03-21 08:04:00,0.55588,0.55592,0.55583,0.55592,26
2025-03-21 08:05:00,0.55593,0.55594,0.55588,0.55591,27
2025-03-21 08:06:00,0.55592,0.55596,0.55591,0.55595,13
2025-03-21 08:07:00,0.55596,0.55598,0.55591,0.55592,16
2025-03-21 08:08:00,0.55592,0.55595,0.5559,0.55593,16
2025-03-21 08:09:00,0.55589,0.55591,0.55583,0.55584,18
2025-03-21 08:10:00,0.55585,0.55585,0.55579,0.55585,24
2025-03-21 08:11:00,0.55584,0.55584,0.5558,0.55581,16
